Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Order_Status,Ship_Mode,Sales,Profit,Cost,Year
ORD101331,2024-01-04,CUST1376,Rebecca Alvarado,South,Leeds,Produce,Can Set,3,56.8,0.14,Credit Card,Cancelled,Express,146.54,25.09,121.45,2024
ORD100497,2024-01-04,CUST1551,John Campbell,West,Liverpool,Snacks,Quite Box,3,6.23,0.08,Mobile Payment,Completed,Express,17.19,2.77,14.42,2024
ORD103876,2024-01-04,CUST1180,Jason Osborne,East,Leeds,Household,Center Pack,7,117.37,0.06,Mobile Payment,Pending,Express,772.29,66.35,705.94,2024
ORD101916,2024-01-04,CUST1438,Daniel Golden,East,Leeds,Produce,Read Bag,4,135.46,0.16,Cash,Completed,Standard,455.15,75.35,379.8,2024
ORD100950,2024-01-04,CUST1816,Kristopher Preston,East,Manchester,Bakery,Style Set,5,72.53,0.22,Cash,Pending,Express,282.87,23.94,258.93,2024
ORD101727,2024-01-04,CUST1428,Nicholas Bradley,East,London,Household,Contain Box,8,82.58,0.25,Cash,Pending,Standard,495.48,37.73,457.75,2024
ORD104114,2024-01-04,CUST1082,Gina Rodriguez,North,Manchester,Beverages,Compare Box,2,84.72,0.24,Cash,Completed,Same-Day,128.77,12.15,116.62,2024
ORD102734,2024-01-04,CUST1056,Michael Booth,East,Newcastle,Dairy,Be Pack,8,84.91,0.15,Credit Card,Cancelled,Standard,577.39,81.08,496.31,2024
ORD103086,2024-01-04,CUST1054,Megan Sanchez,North,London,Snacks,Civil Set,8,124.63,0.22,Credit Card,Cancelled,Same-Day,777.69,103.86,673.83,2024
ORD100326,2024-01-04,CUST1104,James Stephens,North,Bristol,Household,Why Pack,5,96.5,0.1,Credit Card,Completed,Express,434.25,56.19,378.06,2024
ORD101489,2024-01-04,CUST1135,Timothy Martin,North,Bristol,Beverages,Throughout Box,7,55.24,0.16,Online Payment,Cancelled,Standard,324.81,36.0,288.81,2024
ORD100128,2024-01-05,CUST1186,Sydney Juarez,West,Bristol,Household,Entire Box,9,77.42,0.19,Credit Card,Cancelled,Same-Day,564.39,53.83,510.56,2024
ORD102436,2024-01-05,CUST1723,Kimberly Rice,East,Liverpool,Bakery,Charge Set,7,113.84,0.09,Cash,Pending,Standard,725.16,106.08,619.08,2024
ORD100614,2024-01-05,CUST1770,Gabrielle Nelson,West,Newcastle,Frozen Foods,Scene Bottle,4,105.76,0.08,Mobile Payment,Pending,Same-Day,389.2,78.1,311.1,2024
ORD102916,2024-01-05,CUST1196,Joshua Burnett,North,Glasgow,Frozen Foods,Laugh Set,3,137.84,0.23,Online Payment,Cancelled,Standard,318.41,64.24,254.17,2024
ORD102056,2024-01-05,CUST1093,Bethany Mcintosh,South,Manchester,Dairy,May Bottle,9,91.28,0.25,Online Payment,Cancelled,Standard,616.14,62.43,553.71,2024
ORD102286,2024-01-05,CUST1799,Mr. Christopher Nichols,East,Newcastle,Bakery,Character Pack,7,69.28,0.16,Credit Card,Pending,Same-Day,407.37,66.64,340.73,2024
ORD101565,2024-01-05,CUST1708,Kenneth Perkins,North,Glasgow,Bakery,Voice Box,8,133.14,0.08,Credit Card,Completed,Express,979.91,65.7,914.21,2024
ORD103917,2024-01-05,CUST1494,James Cline,West,Glasgow,Dairy,City Set,1,47.84,0.05,Online Payment,Pending,Express,45.45,11.33,34.12,2024
ORD102335,2024-01-05,CUST1680,Vicki Haynes,West,Liverpool,Household,Decade Set,2,113.1,0.18,Online Payment,Completed,Express,185.48,40.56,144.92,2024
ORD101093,2024-01-05,CUST1286,Connor Barrett,West,Sheffield,Frozen Foods,Alone Pack,4,52.49,0.23,Online Payment,Completed,Same-Day,161.67,24.15,137.52,2024
ORD104280,2024-01-05,CUST1501,Kenneth Anthony,North,Glasgow,Frozen Foods,Beautiful Bottle,3,70.94,0.18,Cash,Pending,Same-Day,174.51,41.89,132.62,2024
ORD103486,2024-01-05,CUST1415,Ashley Moore,North,Liverpool,Bakery,Line Bottle,3,37.47,0.09,Credit Card,Cancelled,Same-Day,102.29,7.07,95.22,2024
ORD100721,2024-01-05,CUST1024,Gina Kramer,West,Leeds,Household,Off Bottle,6,144.4,0.17,Mobile Payment,Pending,Standard,719.11,132.07,587.04,2024
ORD100844,2024-01-05,CUST1033,Dan Griffin,North,London,Snacks,Suddenly Pack,7,143.83,0.14,Credit Card,Pending,Express,865.86,186.38,679.48,2024
ORD100416,2024-01-05,CUST1142,Samantha Robertson,West,Glasgow,Bakery,Raise Pack,4,93.93,0.23,Online Payment,Cancelled,Standard,289.3,31.87,257.43,2024
ORD101046,2024-01-05,CUST1147,Katrina Williams,East,Sheffield,Dairy,Able Box,9,48.46,0.24,Credit Card,Pending,Same-Day,331.47,32.16,299.31,2024
ORD103503,2024-01-05,CUST1641,Lisa Fuller,North,Newcastle,Beverages,Process Box,9,101.28,0.05,Online Payment,Completed,Express,865.94,128.46,737.48,2024
ORD104808,2024-01-05,CUST1431,Jared Murphy,East,Glasgow,Beverages,Affect Box,1,38.86,0.04,Credit Card,Completed,Same-Day,37.31,7.9,29.41,2024
ORD100742,2024-01-06,CUST1213,Sylvia Johnson,East,Manchester,Snacks,Important Pack,9,91.47,0.01,Cash,Pending,Express,815.0,95.91,719.09,2024
ORD100936,2024-01-06,CUST1530,Keith Barnes,North,Newcastle,Household,Simply Box,6,117.46,0.11,Online Payment,Completed,Same-Day,627.24,72.84,554.4,2024
ORD104548,2024-01-06,CUST1793,Scott Ward,North,Manchester,Frozen Foods,Team Box,6,10.78,0.17,Mobile Payment,Cancelled,Express,53.68,7.6,46.08,2024
ORD104674,2024-01-06,CUST1855,Raymond Larsen,East,Leeds,Produce,Population Pack,5,15.46,0.05,Online Payment,Completed,Same-Day,73.44,15.43,58.01,2024
ORD103941,2024-01-06,CUST1848,Joseph Cordova,West,Manchester,Frozen Foods,Actually Set,6,134.86,0.06,Credit Card,Completed,Express,760.61,123.14,637.47,2024
ORD100335,2024-01-06,CUST1749,Nicole Brewer,East,Bristol,Household,Difference Bag,1,38.61,0.1,Credit Card,Cancelled,Express,34.75,2.12,32.63,2024
ORD104318,2024-01-06,CUST1346,Craig Owens,West,Leeds,Household,Suggest Bag,3,89.2,0.08,Cash,Completed,Express,246.19,13.79,232.4,2024
ORD100966,2024-01-06,CUST1736,Ryan Sanchez,North,Manchester,Produce,Choice Set,6,6.87,0.02,Online Payment,Completed,Same-Day,40.4,6.4,34.0,2024
ORD104627,2024-01-07,CUST1150,Joseph Miller,North,Bristol,Snacks,Within Bag,5,20.56,0.11,Credit Card,Cancelled,Express,91.49,20.97,70.52,2024
ORD103388,2024-01-07,CUST1645,Christina Singh,North,Birmingham,Produce,Sign Bottle,8,50.16,0.13,Credit Card,Pending,Express,349.11,62.25,286.86,2024
ORD102869,2024-01-07,CUST1254,Kenneth Mata,North,Leeds,Produce,Fire Bag,1,108.65,0.02,Online Payment,Pending,Express,106.48,21.28,85.2,2024
ORD101864,2024-01-07,CUST1885,Savannah Peterson,West,Liverpool,Bakery,Close Pack,9,58.75,0.14,Credit Card,Pending,Standard,454.72,54.39,400.33,2024
ORD104263,2024-01-07,CUST1214,Joseph Dennis,East,Bristol,Dairy,Drive Bag,6,84.91,0.07,Credit Card,Completed,Same-Day,473.8,26.88,446.92,2024
ORD101280,2024-01-07,CUST1558,Stephen Boyd,East,Liverpool,Snacks,Different Box,5,28.34,0.14,Credit Card,Pending,Standard,121.86,24.94,96.92,2024
ORD100896,2024-01-07,CUST1180,Bryan Fernandez,North,Manchester,Produce,Field Set,9,56.75,0.15,Credit Card,Pending,Express,434.14,40.46,393.68,2024
ORD101654,2024-01-07,CUST1588,Julia Martinez,East,Manchester,Household,After Bottle,4,52.51,0.09,Online Payment,Completed,Same-Day,191.14,12.66,178.48,2024
ORD102386,2024-01-07,CUST1012,William Vasquez,North,Birmingham,Produce,Receive Box,1,70.74,0.22,Credit Card,Pending,Express,55.18,3.07,52.11,2024
ORD104382,2024-01-07,CUST1160,Daniel Lopez,East,Glasgow,Frozen Foods,Property Pack,6,120.28,0.21,Cash,Cancelled,Express,570.13,126.44,443.69,2024
ORD103846,2024-01-07,CUST1275,Christina Roberts,North,Glasgow,Beverages,Event Box,4,45.5,0.06,Cash,Completed,Express,171.08,17.05,154.03,2024
ORD100606,2024-01-07,CUST1387,Carrie Graham,West,Newcastle,Household,Assume Bag,6,40.45,0.06,Mobile Payment,Pending,Same-Day,228.14,46.31,181.83,2024
ORD101465,2024-01-07,CUST1878,Andrew Williams,East,Manchester,Produce,Woman Bag,4,90.95,0.23,Mobile Payment,Pending,Standard,280.13,21.4,258.73,2024
ORD104957,2024-01-07,CUST1021,Carmen Murray,West,Glasgow,Dairy,Happy Pack,6,131.03,0.05,Online Payment,Cancelled,Express,746.87,100.39,646.48,2024
ORD101718,2024-01-07,CUST1240,Nancy Jackson,South,Sheffield,Dairy,Lead Bottle,7,147.87,0.11,Online Payment,Pending,Standard,921.23,49.34,871.89,2024
ORD102472,2024-01-07,CUST1130,Eric Ashley,West,Bristol,Snacks,Style Pack,1,81.9,0.21,Online Payment,Pending,Standard,64.7,11.37,53.33,2024
ORD102571,2024-01-08,CUST1511,Richard Jensen,West,Birmingham,Bakery,Say Bag,3,144.73,0.24,Mobile Payment,Completed,Standard,329.98,37.01,292.97,2024
ORD102974,2024-01-08,CUST1254,Jenny Shields,North,Manchester,Bakery,After Set,9,59.63,0.08,Mobile Payment,Completed,Express,493.74,53.67,440.07,2024
ORD101253,2024-01-08,CUST1746,Scott Cooper,South,Bristol,Household,Make Bag,3,16.64,0.16,Online Payment,Completed,Express,41.93,5.59,36.34,2024
ORD100877,2024-01-08,CUST1588,Preston Gomez,North,Liverpool,Bakery,Nation Set,1,84.05,0.24,Online Payment,Pending,Express,63.88,9.05,54.83,2024
ORD101946,2024-01-08,CUST1058,Daniel Smith,East,Birmingham,Produce,National Set,7,114.64,0.11,Credit Card,Pending,Standard,714.21,47.43,666.78,2024
ORD102997,2024-01-08,CUST1757,Kristina Nash,North,Glasgow,Snacks,Set Bag,7,32.17,0.16,Mobile Payment,Pending,Express,189.16,23.56,165.6,2024
ORD103297,2024-01-08,CUST1593,Morgan Wilson,West,Glasgow,Frozen Foods,Per Box,7,142.98,0.2,Mobile Payment,Completed,Same-Day,800.69,153.43,647.26,2024
ORD101768,2024-01-08,CUST1755,Lisa Goodman,South,Leeds,Produce,Us Box,6,136.43,0.03,Cash,Cancelled,Standard,794.02,174.57,619.45,2024
ORD104947,2024-01-08,CUST1844,Jennifer Wilson,South,Sheffield,Beverages,Trial Bag,7,82.2,0.24,Mobile Payment,Cancelled,Express,437.3,76.42,360.88,2024
ORD102049,2024-01-08,CUST1346,Karl Smith,North,Manchester,Dairy,Kid Pack,3,142.12,0.21,Credit Card,Completed,Express,336.82,48.0,288.82,2024
ORD103990,2024-01-08,CUST1864,Glenda Carroll,South,Bristol,Dairy,Gas Pack,4,127.83,0.19,Online Payment,Completed,Same-Day,414.17,81.95,332.22,2024
ORD103484,2024-01-08,CUST1808,Cristina Jones,East,Bristol,Produce,Hair Bottle,2,17.87,0.08,Mobile Payment,Cancelled,Same-Day,32.88,3.41,29.47,2024
ORD103943,2024-01-08,CUST1812,Ryan Brown DDS,North,Liverpool,Frozen Foods,Sure Set,1,13.78,0.12,Online Payment,Pending,Express,12.13,1.86,10.27,2024
ORD104754,2024-01-08,CUST1249,Monique Carpenter,East,London,Produce,Development Set,7,9.95,0.06,Online Payment,Completed,Standard,65.47,8.39,57.08,2024
ORD100830,2024-01-08,CUST1659,Margaret Carey,South,Bristol,Bakery,Natural Bottle,4,144.38,0.01,Credit Card,Completed,Standard,571.74,131.04,440.7,2024
ORD103987,2024-01-08,CUST1707,Gary Willis,North,Glasgow,Bakery,Organization Pack,3,94.27,0.24,Cash,Pending,Standard,214.94,38.51,176.43,2024
ORD103190,2024-01-08,CUST1508,Lisa Carroll,North,Manchester,Frozen Foods,Occur Set,8,120.99,0.13,Mobile Payment,Cancelled,Express,842.09,162.52,679.57,2024
ORD100688,2024-01-08,CUST1149,David Munoz,East,Glasgow,Household,Middle Set,9,71.27,0.18,Cash,Pending,Same-Day,525.97,39.59,486.38,2024
ORD102548,2024-01-08,CUST1660,Samuel Harris,North,Birmingham,Household,Degree Set,3,34.42,0.21,Credit Card,Pending,Same-Day,81.58,6.41,75.17,2024
ORD101322,2024-01-09,CUST1519,Jordan Robinson,South,Leeds,Produce,Modern Set,9,15.86,0.23,Online Payment,Pending,Standard,109.91,15.07,94.84,2024
ORD101601,2024-01-09,CUST1501,Jeffrey Johnson,East,Bristol,Dairy,Already Set,7,19.92,0.05,Cash,Pending,Same-Day,132.47,10.56,121.91,2024
ORD100602,2024-01-09,CUST1186,Dennis Clay,South,Sheffield,Produce,Eat Pack,7,71.84,0.1,Cash,Pending,Standard,452.59,42.73,409.86,2024
ORD100269,2024-01-09,CUST1138,Jeffery Tran,East,Birmingham,Snacks,Or Bag,3,26.25,0.14,Mobile Payment,Pending,Standard,67.72,7.85,59.87,2024
ORD104176,2024-01-09,CUST1149,Trevor Zhang,North,Birmingham,Snacks,Center Pack,6,37.17,0.16,Credit Card,Pending,Express,187.34,22.15,165.19,2024
ORD101571,2024-01-09,CUST1849,Kimberly Davis,East,Liverpool,Bakery,Financial Set,8,116.25,0.25,Mobile Payment,Cancelled,Standard,697.5,79.24,618.26,2024
ORD102208,2024-01-09,CUST1211,Terry Smith,South,Birmingham,Snacks,Last Pack,8,21.73,0.01,Cash,Completed,Same-Day,172.1,33.53,138.57,2024
ORD101787,2024-01-09,CUST1068,Mrs. Vanessa Miller,South,Liverpool,Bakery,Relationship Bottle,5,91.66,0.1,Online Payment,Cancelled,Express,412.47,80.94,331.53,2024
ORD101848,2024-01-09,CUST1208,Michael Strong,West,Glasgow,Dairy,Other Bag,5,6.53,0.18,Cash,Cancelled,Standard,26.77,5.35,21.42,2024
ORD100097,2024-01-09,CUST1210,Vanessa Gallegos,East,Newcastle,Snacks,Week Bottle,8,147.13,0.05,Online Payment,Pending,Express,1118.19,198.17,920.02,2024
ORD104025,2024-01-10,CUST1299,Austin Briggs,East,Sheffield,Beverages,Offer Box,2,148.97,0.08,Online Payment,Completed,Standard,274.1,28.19,245.91,2024
ORD101977,2024-01-10,CUST1164,Susan Foster,East,Sheffield,Snacks,His Pack,1,110.26,0.17,Online Payment,Pending,Express,91.52,15.97,75.55,2024
ORD103660,2024-01-10,CUST1420,Amy Bentley,South,Bristol,Household,Door Bottle,2,76.44,0.2,Mobile Payment,Cancelled,Express,122.3,12.95,109.35,2024
ORD102529,2024-01-10,CUST1435,Carl Schwartz,East,Sheffield,Snacks,Wonder Bag,1,11.13,0.1,Credit Card,Completed,Same-Day,10.02,2.27,7.75,2024
ORD102689,2024-01-10,CUST1007,Kyle Paul,East,Liverpool,Dairy,Smile Bottle,7,24.05,0.11,Cash,Pending,Same-Day,149.83,28.85,120.98,2024
ORD100715,2024-01-10,CUST1029,John Ramirez,North,Manchester,Dairy,Society Box,5,73.86,0.21,Mobile Payment,Cancelled,Express,291.75,70.21,221.54,2024
ORD101005,2024-01-10,CUST1434,Michelle Roberts,West,Bristol,Frozen Foods,Positive Bottle,8,9.64,0.13,Cash,Cancelled,Express,67.09,11.73,55.36,2024
ORD101092,2024-01-10,CUST1244,Mike Butler,West,Manchester,Snacks,Speak Pack,7,124.42,0.19,Mobile Payment,Completed,Express,705.46,67.68,637.78,2024
ORD102210,2024-01-10,CUST1412,Annette Marshall,North,Birmingham,Bakery,Large Box,7,93.8,0.02,Online Payment,Cancelled,Standard,643.47,156.72,486.75,2024
ORD104178,2024-01-10,CUST1773,Jamie Dyer,West,Leeds,Snacks,Agent Bag,6,87.06,0.17,Online Payment,Cancelled,Standard,433.56,42.22,391.34,2024
ORD100485,2024-01-10,CUST1697,Melinda Johnson,North,Sheffield,Snacks,Argue Bottle,1,41.52,0.06,Online Payment,Cancelled,Express,39.03,7.26,31.77,2024
ORD102607,2024-01-10,CUST1142,Christina Sanchez,South,Sheffield,Snacks,Feeling Bottle,2,14.38,0.09,Credit Card,Completed,Standard,26.17,5.21,20.96,2024
ORD104988,2024-01-11,CUST1140,Robert Jackson,South,Newcastle,Beverages,Upon Bag,4,19.02,0.16,Cash,Cancelled,Same-Day,63.91,10.68,53.23,2024
ORD101541,2024-01-11,CUST1318,Alicia Hall,East,Sheffield,Beverages,Contain Set,7,4.5,0.03,Cash,Pending,Standard,30.56,5.73,24.83,2024
ORD101806,2024-01-11,CUST1190,Jill Brown,East,Manchester,Household,Old Box,9,75.73,0.11,Mobile Payment,Pending,Express,606.6,116.79,489.81,2024
ORD101382,2024-01-11,CUST1356,Lindsey Holt,South,Newcastle,Bakery,Create Bottle,1,40.34,0.04,Online Payment,Cancelled,Same-Day,38.73,6.78,31.95,2024
ORD102606,2024-01-11,CUST1522,Ashley Randall,East,Bristol,Household,Maintain Pack,4,138.33,0.03,Online Payment,Completed,Express,536.72,129.19,407.53,2024
ORD104588,2024-01-11,CUST1058,Sandy Cook,West,Manchester,Produce,Growth Bag,3,130.64,0.06,Online Payment,Pending,Express,368.4,83.03,285.37,2024
ORD102245,2024-01-11,CUST1788,Pamela Haley,East,Sheffield,Snacks,Begin Bottle,6,18.88,0.1,Online Payment,Cancelled,Same-Day,101.95,9.23,92.72,2024
ORD101124,2024-01-11,CUST1343,James Cox,West,Liverpool,Produce,Skill Pack,4,110.7,0.04,Cash,Completed,Same-Day,425.09,69.93,355.16,2024
ORD103735,2024-01-11,CUST1601,Thomas Houston,South,Glasgow,Dairy,Shoulder Bottle,3,8.69,0.24,Credit Card,Completed,Same-Day,19.81,1.62,18.19,2024
ORD101295,2024-01-11,CUST1168,Cynthia Powell,East,Sheffield,Frozen Foods,Place Bag,6,111.82,0.09,Cash,Cancelled,Same-Day,610.54,136.42,474.12,2024
ORD103952,2024-01-11,CUST1028,Jennifer Nguyen DDS,East,Sheffield,Frozen Foods,Year Set,1,120.8,0.1,Mobile Payment,Completed,Same-Day,108.72,23.49,85.23,2024
ORD104273,2024-01-12,CUST1333,Lisa Morris DVM,North,London,Bakery,Central Box,2,86.8,0.11,Mobile Payment,Pending,Standard,154.5,22.76,131.74,2024
ORD102323,2024-01-12,CUST1630,Karen Leon,North,Liverpool,Bakery,Ball Set,4,50.97,0.14,Online Payment,Cancelled,Same-Day,175.34,31.19,144.15,2024
ORD103008,2024-01-12,CUST1214,Sheri Vega,South,Sheffield,Dairy,Affect Bottle,1,32.95,0.18,Cash,Pending,Express,27.02,4.33,22.69,2024
ORD103507,2024-01-12,CUST1334,Alyssa Bowen,West,Birmingham,Beverages,Behind Bag,1,4.15,0.01,Credit Card,Pending,Same-Day,4.11,0.33,3.78,2024
ORD102373,2024-01-12,CUST1666,Jillian Dixon,East,Leeds,Snacks,Picture Pack,7,113.75,0.1,Online Payment,Completed,Standard,716.62,92.74,623.88,2024
ORD101436,2024-01-12,CUST1084,Jeremy Newton,East,London,Frozen Foods,Certainly Set,5,91.74,0.14,Mobile Payment,Completed,Express,394.48,67.46,327.02,2024
ORD101671,2024-01-12,CUST1134,Mark Green,North,Liverpool,Beverages,Leave Bottle,3,33.2,0.17,Mobile Payment,Cancelled,Same-Day,82.67,18.67,64.0,2024
ORD101875,2024-01-12,CUST1383,Nina Lambert,South,Sheffield,Household,Most Bag,4,115.98,0.22,Cash,Pending,Standard,361.86,39.52,322.34,2024
ORD101877,2024-01-12,CUST1360,Grant Dunlap,North,Leeds,Produce,Probably Bag,3,22.13,0.04,Cash,Pending,Same-Day,63.73,14.52,49.21,2024
ORD101758,2024-01-12,CUST1872,Lori Reed,West,Leeds,Snacks,Quite Bag,9,62.75,0.04,Cash,Pending,Express,542.16,72.88,469.28,2024
